DOI,Citation_context,Source,file ID,Year,Journal
10.3389/fchem.2022.875241,"“…What’s more, by covalently linking carboxylate-modified red fluorescent cadmium telluride (CdTe) quantum dots (QDs) with fluorescent blue carbon nanodots functionalized with amino groups (CDs), Wang et al (  Wang et al, 2016  ) developed a ratio fluorescence nanosensor with good performance for Cu 2+ detection ( Figure 5A ). In addition, Zhu et al (  Zhu et al, 2012  )also adopted a ratio fluorescence detection method for copper ions, in particular, the CdSe@C quantum dots (QDs) with different fluorophore dual-emission were selected. This probe ion recognition higher and better stability ( Figure 5B ).…”",Scite,,2022,Frontiers in Chemistry
10.3389/fchem.2022.875241,"“… (A) Schematic illustration of the formation of the dual-emission ratiometric fluorescence probe and the visual detection principle for copper ions (  Wang et al, 2016  ); (B) Dual-emission fluorescent sensing of Cu 2+ ions based on a CdSe@C-TPEA nanohybrid (  Zhu et al, 2012  ); (C) Schematic representation of NS-CQDs synthesis synthesizing NS-CQDs from banana juice (  Chaudhary et al, 2020  ); (D) Schematic illustration of the visual detection principle for Cu 2+ using the tricolor probe (  Cai et al, 2018  ). …”",Scite,,2022,Frontiers in Chemistry
10.3389/fchem.2020.580033,"“…Carbon quantum dots (CQDs) are a newly developed division of carbon-based nanomaterials (e.g., nanodiamond, fullerenes, carbon nanotubes, graphene, and graphene oxide) which are environmentally friendly, chemically stable, and reasonably conductive (Lim et al,  2015  ; Cayuela et al,  2016  ; Liu et al,  2016  ; Namdari et al,  2017  ; Molaei,  2020  ). These basic properties have attracted a wide range of researchers to employ CQDs in various applications including biomedical and biotechnological applications (Namdari et al,  2017  ; Iravani and Varma,  2020  ), dye-synthesized solar cells (Gao et al,  2020  ), light-emitting devices, (Yuan et al,  2018  ; He et al,  2020  ) imaging and bioimaging (Zhu et al,  2012  ; Jiang et al,  2015a  ; Smith and Gambhir,  2017  ; Panwar et al,  2019  ; Liu Y. et al,  2020  ), electrochemical and electrochemiluminescence studies (Wang and Dai,  2015  ; Fiorani et al,  2019  ; Wang et al,  2019  ; Chen et al,  2020  ; Kour et al,  2020  ; Zhong et al,  2020  ), and sensing (Li et al,  2019  ; Huang et al,  2020  ; Molaei,  2020  ; Tajik et al,  2020  ). More importantly, CQDs possess outstanding optical features, including a bright and tunable luminescence emission within a wide range of wavelengths (Sun et al,  2006  ; Wang et al,  2017  ).…”",Scite,,2020,Frontiers in Chemistry
10.3389/fmats.2021.700403,"The CQD-based biosensors can visually monitor glucose (Shi et al., 2011), phosphate (Zhao et al., 2011), nucleic acid (Li et al., 2011c), cellular iron (Zhu et al., 2012), potassium iron, and pH (Wei et al., 2012).",SemSchol&FB,,2021,Frontiers in Materials
10.1039/c5qi00273g,"“…[43][44][45] Previously CDs have been demonstrated as nanosensors for detection of temperature and some metal ions. 16, 46 However, most reported CD-based sensors depend on the decrease in the fluorescence intensity. ""Light-on"" fluorescent sensors designed using CDs are still relatively rare.…”",Scite,,2016,Inorganic Chemistry Frontiers
10.1039/c3ta14314g,"“…3a), which are characteristic of the electronic transitions in aromatic rings. 38 Aer the addition of copper ions, one band at about 528 nm emerged, which was due to the ring-opening of rhodamine moieties driven by complexation with copper ions. BRhPMOs (Fig.…”",Scite,,2014,J. Mater. Chem. A
10.1039/c3ta14314g,"“…The not very low LOD value might be caused by the formation of non-uorescent H-aggregates in the silica network among BRh units during the self-assembly and condensation process. 38 A salient feature of BRhPMOs as a Cu 2+ chemosensor is its high photostability. Photobleaching experiments for R6G, Cu 2+chelated BRh-Si 4 , and Cu 2+ /Fe 3+ -chelated BRhPMOs were carried out.…”",Scite,,2014,J. Mater. Chem. A
10.1039/c3tb21760d,"“…The multiple absorptions are attributed to the intraband (sp) HOMO → LUMO transition, the 5 interband transition (d → sp), or mixed sp → sp intraband and d → sp interband transitions. 131 Figure 9(d) shows two fluorescence bands with the maxima at around 1.5 and 1.15 eV observed in Au 28 (GSH) 16 nanoclusters by Link et al 132 These two bands are separated from a broad luminescence in the range of 2.0 -0.8 eV, 10 and are ascribed to the radiative interband recombination between the sp and d bands, and intraband transitions (sp bands) between the HOMO and LUMO. Despite the good agreement between simulated data and experimental observations, the origin of metal fluorescence is not 15 20 exhibited an emission at ∼665 nm with a QY of ∼8%.…”",Scite,,2014,J. Mater. Chem. B
10.1039/c3tb21760d,"“…Advanced applications of uorescent nanomaterials in living systems as sensors for enzymes, oxygen, metal ions, and pH have readily been described elsewhere. [13][14][15][16] For bioimaging, uorescent nanoparticles should have water-solubility, biocompatibility, chemical-and photostability. They should also have a uniform size and high quantum yield (QY) for optimized brightness, narrow and symmetric emission for multiplexing and colour saturation, and minimized blinking for light output stability.…”",Scite,,2014,J. Mater. Chem. B
10.1039/c4tb00677a,"“…[4][5][6][7] Surface functionalization of C-dots is paving the way towards quantitative detection, highly efficient uorescent imaging, and real-time tracking of targets. [8][9][10][11][12][13][14][15][16][17][18][19][20] For example, water-soluble C-dots have been covalently conjugated with AE-TPEA 8 and AE-TPY 9 for the detection of Cu 2+ and pH in biological systems, respectively. AE-TPEA-functionalized C-dots were also integrated with CdSe/ZnS QDs to develop a ratiometric strategy for intracellular sensing of Cu 2+ .…”",Scite,,2014,J. Mater. Chem. B
10.1039/c4tb00677a,"“…AE-TPEA-functionalized C-dots were also integrated with CdSe/ZnS QDs to develop a ratiometric strategy for intracellular sensing of Cu 2+ . 10 Taking advantages of two distance-dependent phenomena, namely color change of AuNPs and FRET, a dual-mode nanosensor with both colorimetric and uorometric readout for the discriminative detection of GSH under physiological conditions was developed by our group. 12 Cao and co-workers demonstrated that C-dots which can give two-photon luminescence under excitation of 800 nm were able to label both the cell membrane and the cytoplasm of MCF-7 cells without reaching the nucleus.…”",Scite,,2014,J. Mater. Chem. B
10.1039/c4tb00918e,"“…A variety of nanomaterials such as quantum dots, metal nanoclusters, nanocrystals, silica-dye hybrid nanoparticles, etc. [8][9][10][11] These features along with non-toxicity and biocompatibility make CDs ideal candidates for investigating biological systems. [1][2][3][4] Among a wide variety of nanosized materials, semiconductor quantum dots are a forerunner for bioimaging applications.…”",Scite,,2014,J. Mater. Chem. B
10.1039/c4tb00918e,"“…[5][6][7] CDs have several advantages, such as chemical inertness, lack of blinking, size and excitation-wavelength (l ex ) dependent photoluminescence, and amphiphilic characteristics depending on the surface capping materials. [8][9][10][11] These features along with non-toxicity and biocompatibility make CDs ideal candidates for investigating biological systems. 12 Bone diseases comprise a variety of skeletal-related disorders such as arthritis, osteoporosis, osteoarthritis, osteosarcoma, and metastatic bone cancer resulting in major mobility hindrance and mortality to human beings.…”",Scite,,2014,J. Mater. Chem. B
10.1039/c7tc03266h,,Scopus citing DOI,,2017,J. Mater. Chem. C
10.1007/s10895-024-03717-6,,Scopus citing DOI,,2024,Journal of Fluorescence
10.1039/c5ta03355a,"“…[15][16][17][18] This has prompted to develop a series of synthetic procedures for carbon nanodots from low cost carbon containing materials over the years. [27][28][29][30][31][32][33][34][35][36][37][38] In spite of these aforementioned applications, carbon nanodots have been rarely used as a template for the synthesis of other nanoparticles/ nanodots to obtain a hybrid nanomaterial. These make them wonderful candidates for applications in bioimaging, catalysis, multi-color printing, sensing, and others.…”",Scite,,2015,Journal of Materials Chemistry A
10.1039/c5ta03355a,"“…These make them wonderful candidates for applications in bioimaging, catalysis, multi-color printing, sensing, and others. [27][28][29][30][31][32][33][34][35][36][37][38] In spite of these aforementioned applications, carbon nanodots have been rarely used as a template for the synthesis of other nanoparticles/ nanodots to obtain a hybrid nanomaterial. 39 Hybrid nanomaterials belong to an interesting class of nanomaterials owing to their fascinating properties that are different from their individual constituent(s).…”",Scite,,2015,Journal of Materials Chemistry A
10.1039/c4tb01354a,"“…[24][25][26][27][28][29][30][31][32][33][34][35][36][37] As an excellent uorescent material, through surface functionalization and/or combination with other nanomaterials, CNPs have been used as probes for sensing various metal ions and biomolecules including proteins. [38][39][40][41][42][43][44] For example, Shi et al reported a dual-mode nanosensor with both colorimetric and uorometric readout based on integration of CNPs and gold nanoparticles for detection of GSH in distilled water. 45 However, the uorescence intensity increased only by 255 min was needed.…”",Scite,,2015,Journal of Materials Chemistry B
10.1039/c5tb00585j,,Scopus citing DOI,148.pdf,2015,Journal of Materials Chemistry B
10.1039/c6tb00238b,,Scopus citing DOI,41.pdf,2016,Journal of Materials Chemistry B
10.1039/c6tb00976j,,Scopus citing DOI,126.pdf,2016,Journal of Materials Chemistry B
10.1039/c6tb02071b,,Scopus citing DOI,105.pdf,2016,Journal of Materials Chemistry B
10.1039/c7tb00810d,,Scopus citing DOI,,2017,Journal of Materials Chemistry B
10.1039/c7tb00891k,,Scopus citing DOI,,2017,Journal of Materials Chemistry B
10.1039/c8tb00116b,,Scopus citing DOI,,2018,Journal of Materials Chemistry B
10.1039/c9tb02758k,,Scopus citing DOI,193.pdf,2020,Journal of Materials Chemistry B
10.1039/d0tb02979c,,Scopus citing DOI,,2021,Journal of Materials Chemistry B
10.1039/d1tb00224d,,Scopus citing DOI,228.pdf,2021,Journal of Materials Chemistry B
10.1039/d2tc02044k,"“…Dual emission C-dots were synthesized using precursors of CA and urea. 168 The as-prepared C-dots exhibited two peaks located at 440 nm and 590 nm, respectively. The PL intensity ratio of two channels exhibited a temperature dependence ranging from 15 to 80 1C.…”",Scite,,2022,Journal of Materials Chemistry C
10.1039/d2tc02044k,"“…The PL intensity ratio of two channels exhibited a temperature dependence ranging from 15 to 80 1C. 168 Specifically, the PL intensity at 590 nm decreased obviously when the temperature was increasing, while the PL intensity at 440 nm remained unchanged. However, these systems have a serious drawback that the PL does not fall in any water transparency window, so the penetration depth of emitted light is rather limited.…”",Scite,,2022,Journal of Materials Chemistry C
10.1039/d2tc02044k,"“…Compared to the single emission, ratiometric optical nanothermometry relies on the ratio of two PL signals for probing the temperature changes in the surrounding media. 31,168 Ratiometric optical thermometry allows the selfcalibration of the system with improved robustness and reliability. Dual emission C-dots were synthesized using precursors of CA and urea.…”",Scite,,2022,Journal of Materials Chemistry C
10.1039/c6tc02055k,,Scopus citing DOI,112.pdf,2016,Journal of Materials Chemistry C
10.1039/c9tc00233b,"“…1,2 CNDs, discovered in 2004, were initially prepared by purifying single-walled carbon nanotubes via an electrophoresis method. 3 CNDs (usually with an average size of below 10 nm) are a new class of carbon nanomaterials that shows great potential for a variety of applications including lightemitting diodes, 4 optical detectors, 5 bio-imaging probes, 6 and visible-light-driven photocatalysts. 7 Although carbon is a black conductive element, carbon-based quantum dots usually have semiconductor characteristics and strong luminescence, and are thus commonly referred to as carbon nano-lights.…”",Scite,,2019,Journal of Materials Chemistry C
10.1039/d0tc04007j,,Scopus citing DOI,223.pdf,2020,Journal of Materials Chemistry C
10.1039/d1tc00660f,,Scopus citing DOI,,2021,Journal of Materials Chemistry C
10.1039/c9lc00683d,,Scopus citing DOI,191.pdf,2019,Lab on a Chip
10.3390/lubricants12030088,"“…In recent years, a novel class of carbon-based nanomaterial, known as carbon quantum dots (CQDs), has garnered significant attention from researchers owing to their favorable biocompatibility, distinctive optical characteristics, rich physicochemical characterization, high sensitivity, high stability, and inexpensive preparation [37,38]. Research has indicated that carbon quantum dots have broad use in fluorescence sensors for chemical composition and environmental monitoring [39][40][41][42][43]. Therefore, it is of great practical significance to apply CQDs in optical sensor devices.…”",Scite,,2024,Lubricants
10.3390/ma14061504,,Scopus citing DOI,21.pdf,2021,Materials
10.1039/c9qm00415g,"“…In the Stern-Volmer quenching curves, a good linearity between I 0 /I and concentration can be observed, which indicates that dynamic quenching processes occur in this sensor system. In addition, Zhu et al 153 integrated a fluorescent nanohybrid sensor for Cu 2+ based on CDs. This sensor consisted of CDs, CdSe/ZnS QDs and an organic molecule specific to Cu 2+ , N-(2-aminoethyl)-N,N,N 0 tris(pyridin-2ylmethyl)ethane-1,2-diamine (AE-TPEA).…”",Scite,,2019,Materials Chemistry Frontiers
10.1088/2050-6120/aa5e2b,,Scopus citing DOI,,2017,Methods and Applications in Fluorescence
10.3390/molecules25235731,"The use of CNPs [22–24] for sensing purposes shows many interesting features, such as the high fluorescence quantum yield [25], water solubility, low toxicity [26], low-cost synthesis [27] and the possibility to functionalize their external shell [28].",SemSchol&FB,,2020,Molecules
10.3390/molecules25235731,"“…Furthermore, very recently, we reported on the first nanosensor based on carbon nanoparticles (CNPs), able to detect very low concentration values of DMMP both in solution and in the gas phase [21]. The use of CNPs [22][23][24] for sensing purposes shows many interesting features, such as the high fluorescence quantum yield [25], water solubility, low toxicity [26], low-cost synthesis [27] and the possibility to functionalize their external shell [28].…”",Scite,,2020,Molecules
10.3390/molecules29051020,"“…MCF-7 cells were cultured for 24 h and incubated with a 13 μmol/L fluorescent probe FP for 2 h. The cells were washed with phosphate-buffered saline (PBS) three times and imaged by a fluorescence microscope. Subsequently, 10 μmol/L Cu 2+ was introduced to the medium and cultured for 1 h. After washing with PBS three times, the cells were imaged by fluorescence microscopy [  45  ,  46  ,  47  ].…”",Scite,,2024,Molecules
10.3390/molecules29174211,"Secondly, it should be attributed to the electron transfer from excited CDs to the unfilled orbital of Cu2+, which further leads to strong non-radiative electron/hole recombination, resulting in aggregation-induced emission quenching (AIE) in CDs-Cu2+ [45]. ",SemSchol&FB,,2024,Molecules
10.5101/nml.v5i4.p247-259,,Scopus citing DOI,7.pdf,2013,Nano-Micro Letters
10.3390/nano11051232,"Due to the built-in correction of two distinct emission centers, this method can effectively reduce background interference. Some novel ratiometric CDs have been used as probes to detect different ions. Zhu et al. prepared dual-emission CDs centered at 485 and 644 nm [28]. The fluorescence peak of the CDs at 485 nm was gradually quenched by Cu2+, while that at 644 nm maintained its original intensity throughout.",SemSchol&FB,,2021,Nanomaterials
10.3390/nano11051232,"“…Some novel ratiometric CDs have been used as probes to detect different ions. Zhu et al prepared dual-emission CDs centered at 485 and 644 nm [  28  ]. The fluorescence peak of the CDs at 485 nm was gradually quenched by Cu 2+ , while that at 644 nm maintained its original intensity throughout.…”",Scite,,2021,Nanomaterials
10.3390/nano12060898,"“…Fe-CDs were prepared by Zhao et al, from ammonium iron (III) citrate and urea as precursors. via hydrothermal reaction at 180 °C for six hours in stainless steel autoclave [  114  ,  115  ,  116  ,  117  ,  118  ,  119  ]. The products were then cooled to room temperature and neutralized to pH 7.0.…”",Scite,,2022,Nanomaterials
10.3390/nano12060898,"“…Benefitting from the turn-off of the photoluminescence properties of CDs, biological ions, biomolecules (sugar, antibodies, other sugars, amino acid) and proteins can be detected [  115  ,  116  ,  117  ]. Cu 2+ and Fe 3+ ions play a crucial role in detection of diseases [  118  ,  119  ]. Hence, CDs can be used for detecting such ions which are co-factors for specific diseases.…”",Scite,,2022,Nanomaterials
10.3390/nano11051265,"“…Sensing is possibly among the most important applications of CDs, and certainly one of the most widespread [  31  ,  32  ,  33  ]. Due to the excellent optical properties, the strong sensitivity of the fluorescence to the external environment [  34  ,  35  ], and the capability of CDs to behave as efficient electron donors [  36  ,  37  ,  38  ], CDs are often proposed as detectors of various harmful substances, for example, heavy metals such as mercury [  39  ,  40  ,  41  ,  42  ], copper, and iron [  43  ,  44  ,  45  ,  46  ]. Therefore, a consistent effort is being made to increase the sensitivity of CDs to one or more of these analytes.…”",Scite,,2021,Nanomaterials
10.3390/nano8121071,"“…In the IR spectrum (Figure 3a) of the CDs, the peaks observed around 3417, 3248, 1705, 1564, and 1404 cm −1 correspond to the O–H stretching, N–H stretching, C=O vibration, N–H bending, and amido C–N stretching vibration, respectively [28]. After grafting PPDA onto the surface of the CDs, new peaks at around 2973 and 1652 cm −1 were observed, which correspond to C=C/C=N stretch of polycyclic aromatic hydrocarbons [29]. The appearance of the C=C/C=N stretch in the IR spectrum indicates the formation of PPDA-functionalized CDs.…”",Scite,,2018,Nanomaterials
10.3390/nano9101500,"“…Based on the earlier observations [88, 89, 90], the high affinity of N–CDs by Cu 2+ might be attributed to the cupric amine complex, which could be formed by the coordination of Cu 2+ ions with active amino groups around N–CDs. PL intensity reduction might be resulted from this stable complex leading to N–CDs aggregation.…”",Scite,,2019,Nanomaterials
10.1039/c4nr02792b,"“…43,44 The N1s peaks at 399.2 and 400.2 eV shown in Fig. 4(c) indicate that nitrogen exists mostly in the form of C-N-C (sp 3 ) and (C) 3 -N (sp 3 ), respectively. 43 These results prove that the synthesized CDs are nitrogen-doped CDs.…”",Scite,,2014,Nanoscale
10.1039/c4nr02792b,"“…In recent years, carbon dots (CDs) are inspiring intensive research interests because of their high aqueous solubility, chemical inertness, low toxicity, facile functionalization and resistance to photobleaching. 1 Therefore, CDs provide a wide variety of promising applications in bio-imaging, [2][3][4] photocatalysis, 5,6 optoelectronic devices, 7,8 drug and gene delivery, 9, 10 chemical sensor and biosensor. 11,12 Synthetic methods for the preparation of CDs with adjustable sizes can be generally clas-sied into two main groups: chemical and physical methods.…”",Scite,,2014,Nanoscale
10.1039/c6nr03129c,"“…24 Furthermore, the zeta-potentials of MnO 2 and of the pCDs were −19.7 mV and +5.58 mV, respectively (Table S1 †), demonstrating that electrostatic absorption is an important factor in the interaction between pCDs and MnO 2 . Although traditionally, CDs have been used as sensors for metal ions and biothiols based on electron/energy transfer mechanisms, 6,7,10,11 in this case, the use of pCDs-MnO 2 induces quenching of the pCD fluorescence, as reported for previous MnO 2 -modified persistent luminescence nanoparticles and upconversion nanoparticles. 31,32 To illustrate the optical properties of the pCDs-MnO 2 composite, UV-visible and fluorescence spectra were recorded (Fig.…”",Scite,,2016,Nanoscale
10.1039/c6nr03129c,"“…The interest in carbon dots (CDs) as a new member of fluorescent materials for sensing and imaging is mounting due to their excellent optical properties and high biocompatibility. 4, 5 To date, CDs have recently been prepared for use in the fluorometric detection of metal ions, [6][7][8][9][10][11] glucose, 12,13 and biothiols. 3, 14,15 For example, Sun's group reported novel nitrogen doped CDs for the detection of copper ions in lake water samples.…”",Scite,,2016,Nanoscale
10.1039/c6nr03129c,"“…To date, a range of different carbon dots (CDs) have been prepared for application in fluorescence sensing. [8][9][10]14,15,[27][28][29][30] However, a CD-based MR/fluorescence bimodal sensor has not yet been reported. We therefore attempted to synthesize such a sensor through the interaction of CDs with MnO 2 , as illustrated in Scheme 1.…”",Scite,,2016,Nanoscale
10.1039/c3nr04628a,"“…To increase the uorescence color difference, Zhu et al integrated carbon dots (l em, max ¼ 485 nm) and CdSe@ZnS QDs (l em, max ¼ 644 nm) for ratiometric imaging of Cu 2+ in living cells. 174 As shown in Fig. 16A, carbon dots were hybridized with CdSe@ZnS QDs to form a dual-emission uorophore, in which CdSe@ZnS QDs was embedded in silica shells (CdSe@SiO 2 ).…”",Scite,,2014,Nanoscale
10.1039/c4nr01030b,"“…38,39 So far, FCNPs have successfully been demonstrated to be a promising candidate for applications as an optical code for biosensing and bioimaging and as a NIR photothermal therapeutic agent for treatment of solid tumors. [38][39][40][41][42][43][44] Considering the unique material properties of FCNPs and the advantages of the responsive polymer nanogels as drug carriers, it will be desirable to develop a new type of nanosystems that can combine the functions from both FCNPs and responsive nanogels. We expect that such a hybrid nanogel system comprised of both FCNPs and responsive nanogels can not only maintain high drug loading capacity with controllable drug release proles, but also serve as an optical code for bioimaging and biosensing.…”",Scite,,2014,Nanoscale
10.1039/c4nr02657h,"“…In addition, although preliminary studies showed that CNP could be taken up by cells with low cytotoxicity according to an MTT assay, 8,15,16 the interaction of CNP with biological systems was far from well-known, especially for its in vivo compatibility and in vivo behavior. This knowledge is crucial for the application of CD in biological systems, especially for tracking/imaging particular tissues or diseased cells in vivo .…”",Scite,,2014,Nanoscale
