Citing DOI,Citation ID,CC paragraph,Cited title,DOI
10.1038/srep02933,b18,"Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported 13 14 15 16 17 18 19 20 . We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy 18 19 . However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm). To determine Cu 2+  deep inside living tissues, it is crucial to use two-photon microscopy (TPM), a new technique that utilizes near-IR two-photon excitation 21 22 23 24 25 26 27 28 29 30 . TPM offers several advantages such as larger imaging depth (>500 μm), minimized autofluorescence background, and less photodamage associated with the use of near infrared excitation. In the past decades, organic dyes and semiconductor quantum dots (QDs) are widely studied two-photon probes 21 25 31 32 . But the rapid photobleaching effect and limited two-photon absorption cross-section of organic dyes hamper the imaging depth. The potential hazard of heavy metals in semiconductor QDs causes concern for in vivo bioimaging, despite of their strong two-photon fluorescence. Recently, graphene quantum dots (GQDs) have emerged as promising fluorescent materials with their good biocompatibility and photostability 33 34 35 36 37 . Two-photon imaging using the GQDs has also been reported for cell labeling 38 . However, no research about applications of GQDs as two-photon probes to sense biological activities or molecules has been reported so far.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep02933,b19,"Up to now, a few efficient fluorescent sensors for Cu 2+ -selective detection have been reported 13 14 15 16 17 18 19 20 . We have also developed a ratiometric strategy for intracellular sensing and imaging of Cu 2+ , with high sensitivity and accuracy 18 19 . However, most of these probes have been evaluated using one-photon microscopy and require relatively short excitation wavelengths, limiting their use in deep-tissue imaging because of the shallow penetration depth (<80 μm). To determine Cu 2+  deep inside living tissues, it is crucial to use two-photon microscopy (TPM), a new technique that utilizes near-IR two-photon excitation 21 22 23 24 25 26 27 28 29 30 . TPM offers several advantages such as larger imaging depth (>500 μm), minimized autofluorescence background, and less photodamage associated with the use of near infrared excitation. In the past decades, organic dyes and semiconductor quantum dots (QDs) are widely studied two-photon probes 21 25 31 32 . But the rapid photobleaching effect and limited two-photon absorption cross-section of organic dyes hamper the imaging depth. The potential hazard of heavy metals in semiconductor QDs causes concern for in vivo bioimaging, despite of their strong two-photon fluorescence. Recently, graphene quantum dots (GQDs) have emerged as promising fluorescent materials with their good biocompatibility and photostability 33 34 35 36 37 . Two-photon imaging using the GQDs has also been reported for cell labeling 38 . However, no research about applications of GQDs as two-photon probes to sense biological activities or molecules has been reported so far.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,No DOI
10.1038/srep36794,b26,"RGB (red, green and blue)-based color change has been extensively explored in sensor development since the analyte response can be directly and sensitively read out with naked eye 17 18 19 . For example, Suslick and co-workers have established a series of organic dyes-based sensor arrays for discriminating analytes with the RGB values of the difference maps 20 21 . Particularly, ratiometric sensing with “traffic light”-type response, i.e., encoding the signal with one color as the signal code and another as the reference, is a typical application of RGB for visual analysis 22 23 . In this manner, the facile tunability of QD fluorescence holds great opportunity for RGB-based visual analysis 24 25 26 27 .",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for,No DOI
10.1038/srep36794,b26,"Here we used a simple QD-dye mixed system to develop the ratiometric visual sensing moiety, since the broad absorption of QDs provides vast potential for simultaneous excitation of both QDs and dyes 31 . CdTe QDs were selected since they can be facilely synthesized via aqueous synthetic routes with high fluorescent yield 30 . To achieve visual color profiling, red-emitting CdTe QDs (with six common thiols as capping ligands: three amino acid L-Cys, N-A-cys, GSH, and three carboxylic acid, TGA, MPA and MSA) were obtained with a one-step refluxing route 32 . The UV-Vis absorption and photoluminescence (PL) spectra of L-Cys capped CdTe QDs were given in  Figure S1A  (the rest were given in  Figure S2  and  Table S1 ). A well-resolved absorption maximum of the first electronic transition at 595 nm and a red PL emission band of 630 nm were identified for L-Cys capped CdTe QDs ( Figure S1A ). To supply a reference color that facilitates visual readout, green-emitting fluorescein was chosen for use, which exhibits a bright emission band at 530 nm. After mixing, the PL spectra of the CdTe QDs-fluorescein mixture retain the profile of both CdTe QDs and fluorescein ( Figure S1B ). Importantly, both CdTe QDs and fluorescein can be excited at 365 nm ( Figure S1B ), which paves the way of using a handheld UV lamp for convenient visual detection. The variation of fluorescent color between red and green is advantageous since both red and green are among the most sensitive colors to human eyes 24 25 26 33 .",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for,No DOI
10.3390/ma14061504,B24-materials-14-01504,"To investigate in vitro cellular uptake of the HA nanogel carriers, FITC as a fluorescence indicator was encapsulated in the HA nanogels. Due to a negative charge, HA nanogels were uptaken into the B16F1 cells by the HA receptor-mediated endocytosis. We performed the incubation of the HA nanogels containing FITC with B16F1 cells, which are known to express HA receptors such as CD44 and LYVE-1 [ 24 , 25 , 26 , 27 ]. After incubation for a predetermined period (1 h, 2 h), confocal microscopic analysis was carried out ( Figure 4 ). The in vitro bioimaging using HA nanogels showed the target-specific intracellular delivery of HA derivatives to the B16F1 cells with HA receptors. After incubation of the HA nanogels for 1 h, we could confirm the efficient uptake of nanogels into the melanoma cells. Furthermore, the amount of uptaken nanogels into the B16F1 cells was increased with increasing time (top and middle rows in  Figure 4 ). In addition, we investigated the competitive cellular uptake of the HA nanogels with preincubation of free HA to confirm the HA receptor-mediated endocytosis. As shown in  Figure 4 , the preincubation of intact HA appeared to reduce the cellular uptake of HA nanogels drastically. The results of the competitive binding test with preincubation of free HA clearly supported the HA receptor-mediated endocytosis of the HA nanogels.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.3390/ma14061504,B24-materials-14-01504,"On the basis of the results for cellular uptake, we assessed in vivo penetration of the nanogels into mice skin and sublingual region. The HA nanogels labeled with Cy5.5 were topically applied on mice back skin and sublingual region. In our previous work, we could confirm that HA–ovalbumin (OVA) conjugates had successfully penetrated into the skin barrier (stratum corneum) and were well dispersed in the epidermis and dermis layers [ 16 ]. In addition, HA–poly(lactide-co-glycolide) (PLGA) nanoparticles encapsulating minoxidil also showed successful transdermal penetration [ 28 ]. However, the other groups without HA conjugation could not be delivered to the deep skin tissues. In accordance with previous results, HA nanogels could be delivered and well dispersed in deep skin tissues, possibly by the HA receptor-mediated endocytosis. Confocal microscopic images of tissue sections harvested at 4 h post-topical administration showed significant penetration of HA nanogels into the skin ( Figure 5 A). For the quantitative analysis, we measured the spatial distribution of Cy5.5 fluorescence. At 4 h, the remaining solution outside the skin was collected and analyzed, and showed that 55% of the total applied Cy5.5 labeled to the HA nanogels remained in the solution. Assuming that the rest of agents had penetrated into the tissues, 23% of the total nanogels appeared to be present in the stratum corneum, 17% in the epidermis and 5% in the dermis ( Figure 5 B). Of the total 45% of HA nanogels that were absorbed in the skin, about 49% (= 22/45) of those were delivered to the epidermis and dermis. In addition, the HA nanogels also exhibited excellent penetrative behaviors in the sublingual region, as shown in the histological analysis ( Figure 5 C). The 40% of the total Cy5.5 labeled in HA nanogels remained in the solution. Assuming that the rest of agents had penetrated in the tissues, 30% of the total nanogels were present in the ventral epithelium, 19% in the dorsal epithelium and 11% in the muscle ( Figure 5 B). About 50% (=30/60) of them were delivered to the deep tongue.",Carbon-Dot-Based Dual-Emission Nanohybrid Produces a Ratiometric Fluorescent Sensor for In Vivo Imaging of Cellular Copper Ions,10.1002/anie.201109089
10.1021/acsami.2c16199,ref80,"Hydrogen peroxide is present in cancer cells or
inflamed tissues. 61 − 64  Indeed, recent research efforts have demonstrated that ROS intermediates
generated by nanozymes can act as antibacterial agents and as active
toxic agents against cancer cells. 75 , 76  In fact, the
formation of ROS species by photodynamic therapeutic treatment of
cancer cells demonstrated effective cytotoxicity toward cancer cells,
and recent research efforts suggested the application of nanozyme-generated
ROS species as a means for chemodynamic treatment of cancer cells. 77 , 78  The drawbacks of this concept rest, however, on the limited cellular
permeability and lack of selectivity of the nanoparticles affecting
cancer as compared to normal cells. The effective permeation of C-dots
into cells, 79 , 80  suggests that functionalization
of Ce 4+ -ion-modified C-dots with cell-specific aptamers
could be an ideal method to develop effective aptananozymes for chemodynamic
treatment of cancer cells. That is, the functionalization of the Ce 4+ -ion-modified C-dots with cancer cell-specific aptamers would
enhance the targeted permeation of the nanoparticles into cancer cells,
and the H 2 O 2  presented in the cancer cells will
act as the aptananozyme substrate for the selective generation of  • OH as a cytotoxic agent in the cancer cells/tissues.
Accordingly, the Ce 4+ -ion-modified C-dots were functionalized
with the amino-modified AS1411 aptamer, ( 11 ), that binds
to the nucleolin receptor associated with various cancer cells, 81 , 82  or with the MUC1 aptamer ( 12 ) that binds to different
cancer cells, for example, breast cancer cells. 66 , 83  In vitro experiments, the formation of  • OH in
the presence of H 2 O 2  and the AS1411-functionalized
Ce 4+ -ion-modified C-dots in the presence of H 2 O 2 .  Figure  4 A shows the absorbance changes of the ROS probe 1,3-diphenylisobenzofuran,
DPBF, upon reacting H 2 O 2  with AS1411-functionalized
Ce 4+ -ion-modified C-dots in the presence of the DPBF probe.
The time-dependent depletion of the absorbance spectra of DPBF is
consistent with the formation of ROS products. 84 , 85  Control experiments revealed that the AS1411-functionalized Ce 4+ -ion-modified C-dots in the absence of H 2 O 2  or the application of H 2 O 2  on the probe
agent in the absence of the AS1411-functionalized Ce 4+ -ion-modified
C-dots had very little effect on the ROS probing label,  Figure S11 . These experiments confirm the in
vitro generation of the ROS product ( • OH) by the
AS1411-functionalized Ce 4+ -ion-modified C-dots. It should
be noted that the non-Ce 4+ -modified C-dots functionalized
with the AS1411 aptamer or the MUC1 aptamer did not show any ROS product
generation capacity in the presence of H 2 O 2 .","Carbon-Dot-Based
Dual-Emission
Nanohybrid Produces a Ratiometric Fluorescent Sensor for in Vivo Imaging
of Cellular Copper Ions",10.1002/anie.201109089
10.3389/fchem.2020.580033,B64,"Carbon quantum dots (CQDs) are a newly developed division of carbon-based nanomaterials (e.g., nanodiamond, fullerenes, carbon nanotubes, graphene, and graphene oxide) which are environmentally friendly, chemically stable, and reasonably conductive (Lim et al.,  2015 ; Cayuela et al.,  2016 ; Liu et al.,  2016 ; Namdari et al.,  2017 ; Molaei,  2020 ). These basic properties have attracted a wide range of researchers to employ CQDs in various applications including biomedical and biotechnological applications (Namdari et al.,  2017 ; Iravani and Varma,  2020 ), dye-synthesized solar cells (Gao et al.,  2020 ), light-emitting devices, (Yuan et al.,  2018 ; He et al.,  2020 ) imaging and bioimaging (Zhu et al.,  2012 ; Jiang et al.,  2015a ; Smith and Gambhir,  2017 ; Panwar et al.,  2019 ; Liu Y. et al.,  2020 ), electrochemical and electrochemiluminescence studies (Wang and Dai,  2015 ; Fiorani et al.,  2019 ; Wang et al.,  2019 ; Chen et al.,  2020 ; Kour et al.,  2020 ; Zhong et al.,  2020 ), and sensing (Li et al.,  2019 ; Huang et al.,  2020 ; Molaei,  2020 ; Tajik et al.,  2020 ). More importantly, CQDs possess outstanding optical features, including a bright and tunable luminescence emission within a wide range of wavelengths (Sun et al.,  2006 ; Wang et al.,  2017 ). The emission wavelength is easily altered by the size of CQDs and their composition, which can be obtained using different starting materials and/or synthesis methodology (Jiang et al.,  2015a ; Lim et al.,  2015 ; Wang et al.,  2017 ; Zhou et al.,  2019 ; Huang et al.,  2020 ; Liu Y. et al.,  2020 ). Thus, this optical tunability of CQDs is being utilized for applications in photodetection platforms (Gao et al.,  2016 ). In this perspective, we summarize the synthesis of CQDs and explain the influences of doping elements on the opto-electronics of these nanomaterials, while the main focus remains on their photochemistry. We further review the surface functional modification of CQDs, which enables researchers to exclusively couple them with a variety of antibodies, antigens, and proteins. The fundamental applications of CQDs in luminescent immunoassay detections of a broad range of biological samples are highlighted. In this perspective, we cover the most impactful applications of CQDs in immunoassays from 2014 to date.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for,10.1002/anie.201109089
10.1039/d0ra06383e,cit3,"Carbon quantum dots (CQDs) have emerged to act as safe/potent reagents for environmental applications owing to their low toxicity, low cost, chemical inertness, good biocompatibility and outstanding optical properties. CQDs have recently been investigated and defined as a new member in the family of carbon nanostructures. CQDs exhibit a discrete quasi-spherical geometric shape and particle sizes below 10 nm, which are reported to possess more intriguing characters and activities compared with other carbon nanomaterials. 1  This has consequently positioned carbon quantum dots as potential alternatives to the other members of the carbon nanostructures family. 2–4  It was reported that Xu  et al.  first investigated CQDs as fluorescent carbonaceous nanostructures during the electrophoretic purification of single walled carbon nanotubes. 5  Afterwards, numerous studies were extensively concerned with investigating various methods for the synthesis of CQDs and studying their outstanding and superior properties, such as chemical inertness, amazing luminescence, low cost, excellent biocompatibility, and abundance of raw materials. 6–12",No title,10.1002/anie.201109089
10.1038/s41598-017-06356-z,CR49,"The corresponding responses of this sensing system at different stages were shown in Fig.  3 . In the presence of Cu 2+ , the as-prepared N-CDs with strong fluorescence (curve a) were efficiently quenched (curve b), suggesting that an effective electron or energy transfer process have happened between Cu 2+  and N-CDs 49 ,  50 . This transfer process was mainly caused by the chelation of Cu 2+  with N-CDs, which could be ascribed to the quite high thermodynamics affinity of Cu 2+  for typical N,O-chelate ligands on the surface of the N-CDs and rapid metal-to-ligand binding kinetics 51 ,  52 . In order to investigate the driving force between Cu 2+  and CDs, Zeta potential measurement has been carried out. As shown in Supplementary Fig.  S6 , the Zeta potential of the N-CDs and copper ions is −27.85 ± 1.5 mV and 0.49 ± 0.5 mV, respectively. When Cu 2+  is added into the CDs solution, the Zeta potential becomes to be −13.88 ± 1.2 mV, suggesting that the driving force between CDs and Cu 2+  is electrostatic adsorption. Once PPi was added into the N-CDs/Cu 2+  solution, a clear recovery of the fluorescence (curve c) of N-CDs was observed because PPi preferentially bound to Cu 2+  with very high stability constant of PPi-Cu 2+  complex (stability constant log  K 
 PPi-Cu  = 12.45) 53 . After ALP was introduced into the system, PPi was hydrolyzed to Pi and the fluorescence of N-CDs was quenched again (curve d) as a result of the reintegration of N-CDs and the as-released Cu 2+ . The results indicate the great possibility of this N-CDs-based sensing platform for sensitive PPi and ALP detections. Figure 3 Fluorescence spectra and image of N-CDs in the presence of different composition ( a ) mere N-CDs; ( b ) in the presence of 5 μM Cu 2+ ; ( c ) in the presence of 5 μM Cu 2+  and 50 μM PPi; ( d ) in the presence of 5 μM Cu 2+ , 50 μM PPi and 1 U/mL ALP.",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for,10.1002/anie.201109089
10.1186/s11671-019-3088-6,CR21,"The discovery of fluorescent carbon dots (CDs), also known as carbon quantum dots (CQDs), has attracted tremendous interest from many researchers because of their versatile applications in optoelectronics, biomedical applications, and chemical biosensors [ 1 – 3 ]. All nano-sized fluorescent carbon materials with one dimension less than 10 nm can be classified as CDs, and these can be derived from various carbon materials such as fullerenes, graphite, carbon nanotubes, and graphene [ 4 – 6 ]. CDs have several advantages compared to other conventional fluorescent sensors. For example, organic dyes are inexpensive and effective as fluorescent probes, but they are easily photobleached. In contrast, CDs are much more resistant to photobleaching [ 7 – 9 ]. Additionally, semiconductor quantum dots (QDs) are comparably as good as CDs in terms of photostability, quantum efficiency, and tunable fluorescence, but QDs cannot be used to trace a single molecule for long-term monitoring because of their intrinsic blinking [ 10 – 15 ]. Moreover, the main pitfall of QDs is their toxicity, which is due to their heavy metal content, including metals such as cadmium; this limits their biological and environmental applications [ 16 – 19 ]. Compared to other fluorescent raw materials, CDs are synthesized from inexpensive carbon sources that are abundant in nature and are, thus, bio-friendly. Furthermore, there are several simple methods to modify the surface state of CDs, which allow researchers to tune the solubility and quantum yields of CDs according to their experimental requirements [ 20 – 30 ].",Carbon-dot-based dual-emission nanohybrid produces a ratiometric fluorescent sensor for in vivo imaging of cellular copper ions,10.1002/anie.201109089
